"PackageId","GitHubRepo","CurrentVersion","LatestVersion"
"EDCD.EliteDangerousMarketConnector","EDCD/EDMarketConnector","5.13.3","Release/6.1.2"
"EFF.Certbot","certbot/certbot","2.9.0","5.3.0"
"Eigent.Eigent","eigent-ai/eigent","0.0.80","0.0.82"
"EKA2L1.EKA2L1","EKA2L1/EKA2L1","0.0.8.2","continous"
"elbereth.DragonUnPACKer","elbereth/DragonUnPACKer","5.6.2","release-56240-exedrachac"
"electerm.electerm","electerm/electerm","2.5.16","2.6.0"
"elieserdejesus.JamTaba","elieserdejesus/JamTaba","1","2.1.16"
"ElijahLopez.MusicCaster","elibroftw/music-caster","5.23.7","5.25.2"
"EliWeitzman.ETT-Admin","eliweitzman/EnterpriseTechTool","1.2","1.3"
"Elk.Elk","elk-zone/elk-native","0.4.0","elk-native-v0.4.0"
"eloston.ungoogled-chromium","ungoogled-software/ungoogled-chromium-windows","144.0.7559.109","144.0.7559.132-1.1"
"ElyPrismLauncher.ElyPrismLauncher","ElyPrismLauncher/ElyPrismLauncher","9.5","10.0.2"
"emuell.restic-browser","emuell/restic-browser","0.3.2","0.3.3"
"eMule.eMule.community","irwir/eMule","0.70b","eMule_v0.70b-community"
"EnCroissant.EnCroissant","franciscoBSalgueiro/en-croissant","0.11.1","0.13.0"
"EndlessSky.EndlessSky","endless-sky/endless-sky","0.10.14","0.10.16"
"ENIAC-Tech.FlexDesigner","ENIAC-Tech/FlexDesigner","1.2.0","2.1.0"
"EnsoAnalytics.Enso","enso-org/enso","2025.3.1","2025.3.3"
"ente-io.auth-desktop","ente-io/ente","4.4.15","photos-v1.3.10"
"ente-io.ente.CLI","ente-io/ente","0.2.3","photos-v1.3.10"
"ErikAraojo.FintX","namigop/FintX","2.2.0","rel-v3.3"
"erikbra.grate","erikbra/grate","1.8.0","2.0.0"
"Erlang.ErlangOTP","erlang/otp","28.3.1","OTP-27.3.4.7"
"Ethersphere.Swarm-Desktop","ethersphere/swarm-desktop","0.49.0","0.52.0"
"EugeneZrazhevsky.WeblocOpener","benchdoos/WeblocOpener","2.0.2","2.0.2.0"
"evansmurithi.cloak","evansmurithi/cloak","0.2.0","0.3.0"
"EVEMonDevelopmentTeam.EVEMon","mgoeppner/evemon","4.2.2","5.0.0-preview-3"
"Everless321.dYm","Everless321/dYm","1.1.9","1.2.3"
"Exelearning.Exelearning","exelearning/exelearning","3.0.1","3.0.2"
"Exercism.CLI","exercism/cli","3.5.7","3.5.8"
"Exoscale.CLI","exoscale/cli","1.85.3","1.92.0"
"ExpressLRS.ExpressLRS-Configurator","ExpressLRS/ExpressLRS-Configurator","1.7.7","1.7.11"
"f3d-app.f3d","f3d-app/f3d","3.3.0","3.4.1"
"f4exb.sdrangel","f4exb/sdrangel","7.23.0","7.23.1"
"facebook.watchman","facebook/watchman","2025.02.24.00","2026.02.02.00"
"FajoX1.FAgramDesktop","FajoX1/fagramdesktop","1.1.8","1.1.10"
"Faradey.Proga-CMD","Faradey1751V2/proga_cmd_ui","10.6","proga_cmd_V-10.8"
"Faster3ck.Converseen","Faster3ck/Converseen","0.15.1.2","0.15.1.3"
"FelipeSantos.ClipboardSync","felipecrs/clipboard-sync","0.16.4","0.16.8"
"Ferdium.Ferdium.Beta","ferdium/ferdium-app","6.4.1-beta.2","7.1.1"
"FernandoMaclen.Hollama","fmaclen/hollama","0.35.1","0.35.4"
"fifty-six.Scarab","fifty-six/Scarab","2.6.0.0","2.7.0.0"
"fio.fio","axboe/fio","3.41","fio-3.41"
"FirebirdProject.Firebird.3","FirebirdSQL/firebird","3.0.13.33818","5.0.3"
"FirebirdProject.Firebird.4","FirebirdSQL/firebird","4.0.6.3221","5.0.3"
"Firefox2000000.MoonscraperChartEditor","FireFox2000000/Moonscraper-Chart-Editor","1.5.11","1.5.12"
"Firezone.Client.GUI","firezone/firezone","1.5.9","gui-client-1.5.10"
"Firezone.Client.Headless","firezone/firezone","1.5.6","gui-client-1.5.10"
"Fishstrap.Fishstrap","fishstrap/fishstrap","3.0.1.0","3.0.2"
"Fission.Fission.CLI","fission/fission","1.21.0","1.22.0"
"FlaUI.FlaUInspect","FlaUI/FlaUInspect","1.3.0","3.0.0"
"Fleet.fleetctl","fleetdm/fleet","4.80.1","fleet-v4.80.1"
"FleetingClarityStudios.QuickFixMyPic","Echostorm44/QuickFixMyPic","1.0.3","1.0.3.0"
"Fleex255.PolicyPlus","Fleex255/PolicyPlus","1.0.0.0","October2025"
"Flowify.Flowify","naplon74/flowify-music-player","0.0.4","0.0.5"
"ForgQi.biliup-app","biliup/biliup-app","0.6.7","app-v0.6.7"
"fosslife.truthy","fosslife/truthy","1.1.0","app-v1.1.0"
"FredEmmott.HandTrackedCockpitClicking","fredemmott/HTCC","1.2.0","1.6.0"
"freifunkMUC.FreifunkMeet","freifunkMUC/jitsi-meet-electron","2025.1.1","2025.10.1"
"Friction.Friction","friction2d/friction","0.9.6.1","1.0.0-rc.3"
"FrostWire.FrostWire","frostwire/frostwire","6.12.0.318","frostwire-android-3.0.15-build-769"
"FSFhu.Hunspell","mlt/hunspell","1.7.0","tst"
"fsprojects.Paket","fsprojects/Paket","9.0.2.0","10.3.1"
"fstl.fstl","fstl-app/fstl","0.11.0","0.11.1"
"fupdec.mediaChips","fupdec/mediaChips","0.12.4","0.12.5-beta"
"futrime.lip","futrime/lip","0.31.0","0.32.0"
"G0rocks.DesktopShortcutRemover","G0rocks/desktop_shortcut_remover","1.0.0","1.1.0"
"GAM-Team.gam","GAM-team/GAM","7.33.01","7.33.02"
"GAM-Team.GotYourBack","GAM-team/got-your-back","1.90","1.95"
"GarboMuffin.TurboWarp","TurboWarp/desktop","1.15.1","1.15.2"
"Gauge.Gauge","getgauge/gauge","1.6.18","1.6.22"
"Gawindx.WinNUT","gawindx/WinNUT-Client","2.0.7722","2.0.7722.30975"
"GeoDa.GeoDa","GeoDaCenter/geoda","1.22","1.22.0.21"
"GianlucaPernigotto.Videomass","jeanslack/Videomass","3.5.8","6.1.20"
"gilbertchen.duplicacy.cli","gilbertchen/duplicacy","3.2.4","3.2.5"
"gileli121.windowtop","WindowTop/WindowTop-App","5.28.6","5.29"
"Gilgamech.MoarShopBot","Gilgamech/MoarShopBot","1.1552","1.1555"
"Giorgiotani.Peazip","peazip/PeaZip","10.8.0","10.9.0"
"Git.GCM","git-ecosystem/git-credential-manager","2.6.1","2.7.0"
"Git.Git","git-for-windows/git","2.53.0","2.53.0.windows.1"
"Git.Git.PreRelease","git-for-windows/git","2.52.0-rc2","2.53.0.windows.1"
"Git.MinGit","git-for-windows/git","2.53.0","2.53.0.windows.1"
"Git.MinGit.BusyBox","git-for-windows/git","2.52.0","2.53.0.windows.1"
"Git.SDK","git-for-windows/build-extra","1.0.8","git-sdk-1.0.8"
"GitHub.Copilot","github/copilot-cli","0.0.368","0.0.406"
"GitHub.Copilot.Prerelease","github/copilot-cli","0.0.367-0","0.0.406"
"GitHub.GitHubDesktop.Beta","desktop/desktop","3.5.5-beta2","release-3.5.4"
"GitTower.GitFlowNext","gittower/git-flow-next","0.1.1","1.0.0"
"Giuspen.Cherrytree","giuspen/cherrytree","1.6.2","1.6.3"
"Gluon.SceneBuilder","gluonhq/scenebuilder","24.0.1","25.0.0"
"GlyphrStudio.Desktop","glyphr-studio/Glyphr-Studio-Desktop","0.5.6","0.6.0"
"GNU.Wget2","rockdaboot/wget2","2.1.0","2.2.1"
"goatcorp.XIVLauncher","goatcorp/FFXIVQuickLauncher","6.4.1","7.0.20"
"GoHarbor.Harbor","goharbor/harbor-cli","0.0.8","0.0.16"
"Google.ContainerTools.Skaffold","GoogleContainerTools/skaffold","2.17.0","2.17.1"
"Google.Magika","google/magika","1.0.1","python-v1.0.1"
"Google.Protobuf","protocolbuffers/protobuf","33.4","33.5"
"goplus.gop","goplus/gop","1.4.6","1.6.2"
"goplus.xgo","goplus/xgo","1.5.0","1.6.2"
"Gouryella.Drip","Gouryella/drip","0.6.3","0.7.4"
"GPBeta.SAOUtils.Exp","NERvGear/SAO-Utils","0.5.2.12300","1.2.1"
"GrafanaLabs.k6Studio","grafana/k6-studio","1.6.0","1.11.0"
"Grain.Grain","grain-lang/grain","0.7.1","grain-v0.7.2"
"Gramps.Gramps","gramps-project/gramps","6.0.0","6.0.6"
"grapplerobotics.GrappleHook","GrappleRobotics/GrappleHook","25.0.5","26.0.2"
"Greenshot.Greenshot.Preview","greenshot/greenshot","1.3.277","1.3.312"
"Gridcoin.Client","gridcoin-community/Gridcoin-Research","5.4.9","5.4.9.0"
"GristLabs.GristDesktop","gristlabs/grist-desktop","0.2.9","0.3.9"
"GuillaumeRyder.Clavier+","guilryder/clavier-plus","11.4.1","release11.4.1"
"H2IK.JoystickGremlin","WhiteMagic/JoystickGremlin","13.1.0","Release_14"
"HaiYing.AionUi","iOfficeAI/AionUi","1.8.3","1.8.4"
"HamsterBase.HamsterBase.Server","hamsterbase/hamsterbase","0.7.3","0.15.0"
"HandyOrg.HandyWinget-GUI","HandyOrg/HandyWinGet","3.2.2.0","4.0.0-beta.1"
"Hans5958.Domino","Hans5958/Domino-English-Translation","144","en.4"
"Harmonoid.Harmonoid","alexmercerind2/harmonoid-releases","0.3.8.0","0.3.22"
"Headwindsim.HeadwindInstaller","headwindsim/installer","1.6.3","2.0.1"
"HearthSim.HearthstoneDeckTracker","HearthSim/HDT-Releases","1.47.4","1.49.4"
"HeidiSQL.HeidiSQL","HeidiSQL/HeidiSQL","12.15.0.7171","12.15.1.1"
"Hermithic.aiask","Hermithic/aiask","1.0.0","2.0.1"
"HeroicGamesLauncher.GOGDL","Heroic-Games-Launcher/heroic-gogdl","1.1.2","1.2.1"
"HeroicGamesLauncher.HeroicGamesLauncher","Heroic-Games-Launcher/HeroicGamesLauncher","2.18.1","2.19.1"
"heStudioCommunity.APKSignerGUI(Machine-MSI)","hestudio-community/apksigner-gui","1.4.1","1.5.1"
"hfiref0x.WinObjEx64","hfiref0x/WinObjEx64","2.0.7","2.0.9"
"hikari-no-yume.touchHLE","touchHLE/touchHLE","0.2.2","0.2.3"
"HinTak.Font-Validator","HinTak/Font-Validator","2.1.5","FontVal-2.1.6"
"HiroSystems.Chainhook","hirosystems/chainhook","1.8.0","1.9.0"
"HiroSystems.Clarinet","hirosystems/clarinet","3.8.1","3.13.1"
"HiToysMaker.fontplayer","HiToysMaker/fontplayer","0.2.0","0.4.1"
"hmatuschek.kochmorse","hmatuschek/kochmorse","3.5.0","3.5.1"
"HolographicHat.YaeAchievement","HolographicHat/Yae","5.7.1","5.7.3"
"HorizonEDA.horizon-eda","horizon-eda/horizon","2.7.0","2.7.2"
"hrkfdn.ncspot","hrkfdn/ncspot","1.3.2","1.3.3"
"hrzlgnm.mdns-browser","hrzlgnm/mdns-browser","1.3.1","mdns-browser-v1.3.2"
"hufrea.byedpi","hufrea/byedpi","0.16.6","0.17.3"
"HuggingFace.Git-Xet","huggingface/xet-core","0.2.0","1.2.0"
"Hugo.Hugo.Deploy","gohugoio/hugo","0.150.0","0.155.3"
"Hugo.Hugo.Extended","gohugoio/hugo","0.155.2","0.155.3"
"Humanity.DJV2","darbyjohnston/DJV","2.0.8","3.3.3"
"HunterPie.HunterPie","HunterPie/HunterPie","2.12.1.86","2.13.1.893"
"IBM.Semeru.11.JDK","ibmruntimes/semeru11-binaries","11.0.30.7","jdk-11.0.30+7_openj9-0.57.0"
"IBM.Semeru.11.JRE","ibmruntimes/semeru11-binaries","11.0.30.7","jdk-11.0.30+7_openj9-0.57.0"
"IBM.Semeru.16.JDK","ibmruntimes/semeru11-binaries","11.0.23.9","jdk-11.0.30+7_openj9-0.57.0"
"IBM.Semeru.16.JRE","ibmruntimes/semeru11-binaries","11.0.23.9","jdk-11.0.30+7_openj9-0.57.0"
"IBM.Semeru.17.JDK","ibmruntimes/semeru17-binaries","17.0.18.8","jdk-17.0.18+8_openj9-0.57.0"
"IBM.Semeru.17.JRE","ibmruntimes/semeru17-binaries","17.0.18.8","jdk-17.0.18+8_openj9-0.57.0"
"IBM.Semeru.18.JDK","ibmruntimes/semeru18-binaries","18.0.2.9","jdk-18.0.2+9_openj9-0.33.1"
"IBM.Semeru.18.JRE","ibmruntimes/semeru18-binaries","18.0.2.9","jdk-18.0.2+9_openj9-0.33.1"
"IBM.Semeru.19.JDK","ibmruntimes/semeru19-binaries","19.0.2.7","jdk-19.0.2+7_openj9-0.37.0"
"IBM.Semeru.19.JRE","ibmruntimes/semeru19-binaries","19.0.2.7","jdk-19.0.2+7_openj9-0.37.0"
"IBM.Semeru.20.JDK","ibmruntimes/semeru20-binaries","20.0.2.9","jdk-20.0.2+9_openj9-0.40.0"
"IBM.Semeru.20.JRE","ibmruntimes/semeru20-binaries","20.0.2.9","jdk-20.0.2+9_openj9-0.40.0"
"IBM.Semeru.21.JDK","ibmruntimes/semeru21-binaries","21.0.10.7","jdk-21.0.10+7_openj9-0.57.0"
"IBM.Semeru.21.JRE","ibmruntimes/semeru21-binaries","21.0.10.7","jdk-21.0.10+7_openj9-0.57.0"
"IBM.Semeru.22.JDK","ibmruntimes/semeru22-binaries","22.0.2.9","jdk-22.0.2+9_openj9-0.46.1"
"IBM.Semeru.22.JRE","ibmruntimes/semeru22-binaries","22.0.2.9","jdk-22.0.2+9_openj9-0.46.1"
"IBM.Semeru.23.JDK","ibmruntimes/semeru23-binaries","23.0.2.7","jdk-23.0.2+7_openj9-0.49.0"
"IBM.Semeru.23.JRE","ibmruntimes/semeru23-binaries","23.0.2.7","jdk-23.0.2+7_openj9-0.49.0"
"IBM.Semeru.24.JDK","ibmruntimes/semeru24-binaries","24.0.2.12","jdk-24.0.2+12_openj9-0.54.0"
"IBM.Semeru.24.JRE","ibmruntimes/semeru24-binaries","24.0.2.12","jdk-24.0.2+12_openj9-0.54.0"
"IBM.Semeru.25.JDK","ibmruntimes/semeru25-binaries","25.0.2.10","jdk-25.0.2+10_openj9-0.57.0"
"IBM.Semeru.25.JRE","ibmruntimes/semeru25-binaries","25.0.2.10","jdk-25.0.2+10_openj9-0.57.0"
"IBM.Semeru.8.JDK","ibmruntimes/semeru8-binaries","8.0.482.8","jdk8u482-b08_openj9-0.57.0"
"IBM.Semeru.8.JRE","ibmruntimes/semeru8-binaries","8.0.482.8","jdk8u482-b08_openj9-0.57.0"
"ibttf.InterviewCoder","ibttf/interview-coder","1.0.26","1.0.33"
"iDescriptor.iDescriptor","iDescriptor/iDescriptor","0.1.2","0.2.0"
"IDRIX.DirHash","idrassi/DirHash","1.26.1","DirHash_1.26.1"
"ImageOptim.gifski","ImageOptim/gifski","1.14.4","1.34.0"
"indiff.QTTabBar","indiff/qttabbar","1.5.6-beta.1","1.5.6.-beta.1"
"InfiniteRed.Reactotron","infinitered/reactotron","3.8.2","reactotron-react-native@5.1.18"
"InkStitch.InkStitch","inkstitch/inkstitch","3.0.1","3.2.2"
"input-leap.input-leap","input-leap/input-leap","3.0.2-release","3.0.3"
"Insco.FaFaRunner","fafarunner/fafarunner","2.5.6","2.6.1"
"Insco.PicGuard","picguard/picguard","5.0.5","5.2.0"
"Insco.PicGuard.Pro","picguard/picguard","5.0.5","5.2.0"
"Insomnia.Inso","Kong/insomnia","2023.5.8","core@12.3.1"
"Insomnia.Insomnia","Kong/insomnia","12.3.1","core@12.3.1"
"instaloader.instaloader","instaloader/instaloader","4.14.2","4.15"
"Intel.PresentMon.Beta","GameTechDev/PresentMon","0.6.0.0","2.4.1"
"Internxt.Drive","internxt/drive-desktop","2.5.5","2.6.5"
"InTheLoop.LoopEmail.Beta","4thOffice/loopinupdater","7.4.6","7.9.4"
"intxcc.pyaudio","intxcc/pyaudio_portaudio","0.2.11","1.1.1"
"ipinfo.ipinfo","ipinfo/cli","3.3.1","ipinfo-3.3.1"
"IridiumIO.CompactGUI","IridiumIO/CompactGUI","3.8.0","4.0.0-beta.6"
"IrineSistiana.mosdns","IrineSistiana/mosdns","5.3.3","5.3.4"
"ironfede.StructuredStorageXplorer","ironfede/openmcdf","2.3.1.0","3.1.0"
"IsWiX.IsWiX","iswix-llc/iswix","5.2.18","6.0.0"
"isaaclevin.presencelight","isaacrlevin/presencelight","5.9.2","Desktop-v5.9.2"
"ITDevTeam.UUPMediaCreator","gus33000/UUPMediaCreator","3.0.26.0","3.1.9.3"
"IvanCharapanau.Harbor","av/harbor","0.3.41","0.4.0"
"IvanIsCoding.celq","IvanIsCoding/celq","0.2.0","0.3.3"
"izantech.yup","izantech/yup","0.1.2","0.1.4"
"Jackbox.Utility","JackboxUtility/JackboxUtility","1.4.2+2","1.5.1"
"Jackett.Jackett","Jackett/Jackett","0.24.1066","0.24.1074"
"JackTrip.JackTrip","jacktrip/jacktrip","2.7.1.100","2.7.2"
"jaegertracing.jaeger","jaegertracing/jaeger","2.15.0","2.15.1"
"jamaljsr.Polar","jamaljsr/polar","3.3.0","4.0.0"
"JamesCJ60.Universalx86TuningUtility","JamesCJ60/Universal-x86-Tuning-Utility","2.3.2","2.5.6"
"JanDeDobbeleer.Aliae","JanDeDobbeleer/aliae","0.26.5","0.26.6"
"JanDeDobbeleer.OhMyPosh","JanDeDobbeleer/oh-my-posh","29.2.0","29.2.1"
"JanetLang.Janet","janet-lang/janet","1.38.0","1.40.1"
"jark006.jarkViewer","jark006/JarkViewer","1.31","1.32"
"jasko.480pownloader","pontojasko/jasko480paixador","2.4","oficial2"
"jasperapp.jasper","jasperapp/jasper","1.1.2","2.0.0"
"JavaLikeScript.LuaJLS","javalikescript/luajls","0.7.3","0.8.2"
"JayPrall.ColorCop","ColorCop/ColorCop","5.5.2","5.5.4"
"jdx.mise","jdx/mise","2026.2.7","2026.2.8"
"Jellyfin.FFmpeg","jellyfin/jellyfin-ffmpeg","7.1.2-4","7.1.3-1"
"jely2002.youtube-dl-gui","jely2002/youtube-dl-gui","3.1.1","app-v3.1.1"
"JeniusApps.Ambie","jenius-apps/ambie","4.10.5","4.10.15"
"JessicaDeneEarley-Cha.CatFunExtension","chatasweetie/CmdPalExtensions","0.0.2.0","RandomRiddle-v0.0.2.0"
"JessicaDeneEarley-Cha.CatPetExtension","chatasweetie/CmdPalExtensions","0.0.4.0","RandomRiddle-v0.0.2.0"
"JessicaDeneEarley-Cha.DrWhoQuotesCmdPalExtension","chatasweetie/CmdPalExtensionDrWhoQuotes","0.0.1.0","CmdPalExtensionDrWhoQuotes-v0.0.1.0"
"JessicaDeneEarley-Cha.RandomRiddleExtension","chatasweetie/CmdPalExtensions","0.0.2.0","RandomRiddle-v0.0.2.0"
"jftuga.less","jftuga/less-Windows","691","less-v692"
"JIAYOU.FSWT","epmpub/fswt","1.0.0.0","secondTag"
"JiriPolasek.ColorsforCommandPalette","jiripolasek/ColorsExtension","0.6.0","0.10.0"
"JiriPolasek.MediaControlsforCommandPalette","jiripolasek/MediaControlsExtension","0.4.0","0.10.0"
"joadoumie.NBACommandPaletteExtension","joadoumie/NBACmdPalExtension","0.0.1.0","NBAExtension-v0.0.1.1"
"JohannesMillan.superProductivity","johannesjo/super-productivity","17.1.3","17.1.5"
"JohannesPohl.UniversalRadioHacker","jopohl/urh","2.9.8","2.10.0"
"JohnMacFarlane.Pandoc","jgm/pandoc","3.8.3","3.9"
"joncampbell123.DOSBox-X","joncampbell123/dosbox-x","2026.01.02","dosbox-x-v2026.01.02"
"Joplin.Joplin.Pre-release","laurent22/joplin","3.2.10","3.5.12"
"JosephFinney.Text-Grab","TheJoeFin/Text-Grab","4.10.0-reissue","4.12.0"
"jousse.pomodorolm","vjousse/pomodorolm","0.8.0","app-v0.8.0"
"JoyHak.QuickSwitch","JoyHak/QuickSwitch","1.8","1.9"
"JPersson77.LGTVCompanion","JPersson77/LGTVCompanion","5.1.0","5.1.1"
"JPEXS.FFDec","jindrapetrik/jpexs-decompiler","24.1.1","ersion24.1.2"
"jqlang.jq","jqlang/jq","1.8.1","jq-1.8.1"
"JS8Call-improved.JS8Call-improved","JS8Call-improved/JS8Call-improved","2.5.2","release/2.5.2"
"jtroo.kanata_gui","jtroo/kanata","1.10.1","1.11.0"
"Jul13n1.ArcAgent","Jul13n1/arc-release","1.5.0","agent-v1.6.1"
"JulianAlarcon.ProspectMail","julian-alarcon/prospect-mail","0.5.4","1.2.0"
"jumppad.jumppad","jumppad-labs/jumppad","0.23.3","0.24.0"
"just-install.just-install","just-install/just-install","3.4.4","3.4.9"
"Justin025.OnTheSpot","justin025/onthespot","1.1.0","1.1.4"
"JvanKatwijk.Qt-DAB","JvanKatwijk/qt-dab","6.9.6","6.10"
"JvanKatwijk.Qt-DAB.Scalar","JvanKatwijk/qt-dab","6.9.6","6.10"
"Kaedei.Dandanplay","kaedei/dandanplay","16.5.0","windows-16.5.0.0"
"kagg886.Pixiv-MultiPlatform","magic-cucumber/Pixiv-MultiPlatform","1.8.2","1.8.3"
"Kajitsy.Emilia","Kajitsy/Emilia","3.2.1","3.2.3"
"Kanaries.Rath","Kanaries/Rath","1.0.0","2.1.0"
"kangfenmao.CherryStudio","CherryHQ/cherry-studio","1.7.16","1.7.17"
"katahiromz.RisohEditor","katahiromz/RisohEditor","5.8.1","5.9.4"
"KatKoyn.KatKoynCore","KatKoyn/katkoyn-client","2.4","2.4.0"
"kawaiiDango.pano-scrobbler","kawaiiDango/pano-scrobbler","4.26","426"
"kcl-lang.kcl","kcl-lang/cli","0.11.1","0.12.3"
"kevin.Astral","ldoubil/astral","2.1.20","2.7.1"
"KirillOsenkov.MSBuildStructuredLogViewer","KirillOsenkov/MSBuildStructuredLog","2.3.60","2.3.138"
"kisChang.ZenSSH","kisChang/ZenSSH","0.1.0","0.1.1"
"Kiwix.KiwixJS","kiwix/kiwix-js-pwa","3.7.8.0","3.8.4-WikiMed"
"Kiwix.KiwixJS.Electron","kiwix/kiwix-js-pwa","3.7.8-E","3.8.4-WikiMed"
"Kiwix.Wikivoyage","kiwix/kiwix-js-pwa","3.8.2.0","3.8.4-WikiMed"
"Kiwix.Wikivoyage.Electron","kiwix/kiwix-js-pwa","3.8.2-E","3.8.4-WikiMed"
"kkamegawa.lastexecrecord","kkamegawa/lastexecrecord","0.2.0","0.3.0"
"kmiya-culti.RLogin","kmiya-culti/RLogin","2.31.0","2.31.3"
"KorigamiK.mangu","KorigamiK/mangu","2.3.1","continuous_releases"
"Kotatogram.Kotatogram","kotatogram/kotatogram-desktop","1.4.8","k1.4.8"
"KRTirtho.Spotube","KRTirtho/spotube","4.0.0","5.1.0"
"ktsu.BlastMerge","ktsu-dev/BlastMerge","1.0.19","1.0.22-pre.6"
"Kubernetes.kustomize","kubernetes-sigs/kustomize","5.8.0","kustomize/v5.8.0"
"kubescape.kubescape","kubescape/kubescape","3.0.46","4.0.0"
"Kubetail.Kubetail","kubetail-org/kubetail","0.11.1","cli/v0.11.1"
"Kuingsmile.PicList","Kuingsmile/PicList","3.3.0","3.3.1"
"kvirc.KVIrc","kvirc/KVIrc","5.2.8","5.2.10"
"kylon.sharedown","kylon/Sharedown","5.3.4","rolling"
"kyverno.kyverno","kyverno/kyverno","1.13.4","1.17.0"
"LacyMorrow.CrossOver","lacymorrow/crossover","3.3.4","3.4.1"
"LadislavFoldyna.QLog","foldynl/QLog","0.47.1-0","0.48.0"
"lamquangminh.EVKey","lamquangminh/EVKey","5.0.1","Release"
"LANCommander.Launcher","LANCommander/LANCommander","1.1.5","2.0.0-rc4"
"LANCommander.Server","LANCommander/LANCommander","1.1.5","2.0.0-rc4"
"Lando.Lando","lando/core","3.24.3","3.26.2"
"LAVANJV.vecdigilib","VEC-CSE/setup-files-v1","1.0.0","winget-v1.0.0"
"Lean.Lean","leanprover/lean4","4.26.0","4.27.0"
"LeonardoZide.LeoCAD","leozide/leocad","23.03","25.09"
"lhvy.pipes-rs","lhvy/pipes-rs","1.6.3","1.6.4"
"LibreCAD.LibreCAD","LibreCAD/LibreCAD","2.2.1.2","2.2.1.3"
"lightspark.lightspark","lightspark/lightspark","0.8.6-git","0.9.0"
"LightZoneProject.LightZone","ktgw0316/LightZone","4.2.4","4.2.5"
"LinuxSuRen.HTTPdownloader","LinuxSuRen/http-downloader","0.0.89","0.0.99"
"LinwoodCloud.Butterfly","LinwoodDev/Butterfly","2.4.2","2.4.3"
"LinwoodCloud.Butterfly.Nightly","LinwoodDev/Butterfly","2.4.2-rc.1","2.4.3"
"LiriLiri.AYA","liriliri/aya","1.13.0","1.14.2"
"LiteXLTeam.LPM","lite-xl/lite-xl-plugin-manager","1.4.0","continuous"
"LiveSplit.LiveSplit","LiveSplit/LiveSplit","1.8.33","1.8.36"
"LlamaFarm.CLI","llama-farm/llamafarm","0.0.25","0.0.26"
"LLVM.ClangFormat","PolarGoose/clang-format-for-Windows","19.1.7","21.1.0"
"LLVM.LLVM","llvm/llvm-project","21.1.8","llvmorg-21.1.8"
"LobeHub.LobeHub","lobehub/lobehub","2.1.20","2.1.24"
"LongSoft.UEFIExtract","LongSoft/UEFITool","72-alpha","A73"
"LongSoft.UEFIFind","LongSoft/UEFITool","72-alpha","A73"
"LongSoft.UEFITool","LongSoft/UEFITool","72-alpha","A73"
"loonghao.msvc-kit","loonghao/msvc-kit","0.2.2","0.2.5"
"loonghao.vx","loonghao/vx","0.6.27","0.7.7"
"lordmulder.LameXP","lordmulder/LameXP","4.21","Release_421"
"LuaLS.lua-language-server","LuaLS/lua-language-server","3.16.4","3.17.1"
"LuantiTeam.Luanti","luanti-org/luanti","5.14.0","5.15.1"
"LuisPater.CLIProxyAPI","router-for-me/CLIProxyAPI","6.8.5","6.8.7"
"LukeBriggs.Pepys","LukeBriggsDev/Pepys","1.5.4","1.5.5"
"lukehaas.RunJS","lukehaas/RunJS","3.2.0","3.2.2"
"LumiOwO.LumiTracker","LumiOwO/LumiTracker","1.3.5","1.3.7"
"Lune.Lune","lune-org/lune","0.10.1","0.10.4"
"lycheeverse.lychee","lycheeverse/lychee","0.22.0","lychee-v0.22.0"
"LyonBros.Turtl","turtl/desktop","0.7.2.6","0.7.3"
"M336.MusicLibraryPlayer","M336G/music-library-player-app","1.0.0","1.0.1"
"madisvain.upcount","madisvain/upcount","0.8.3","2.0.0-beta.23"
"magic-wormhole.magic-wormhole","aquacash5/magic-wormhole-exe","0.22.0","0.22.0.1"
"mak448a.Qtcord","mak448a/Qtcord","0.0.21","0.0.23"
"MalloyDelacroix.DownloaderForReddit","MalloyDelacroix/DownloaderForReddit","3.16.1","3.17.1"
"Mandelbulber.Mandelbulber","buddhi1980/mandelbulber2","2.33","2.34"
"MarcoML.ml-player","marcomolinaleija/ml-player-releases","3.8.6","4.7.0"
"MarkJamesHoward.TGit","MarkJamesHoward/TGit","1.2.0","1.5.1"
"Marko19907.OLEDShift","Marko19907/OLEDShift","1.1.2","1.1.4"
"MartiCliment.UniGetUI","marticliment/UniGetUI","3.3.6","3.3.7"
"martinchrzan.ColorPicker","martinchrzan/ColorPicker","1.3.0","1.4.1"
"MartinStorsjo.LLVM-MinGW.MSVCRT","mstorsjo/llvm-mingw","21.1.8-20251216","20251216"
"MartinStorsjo.LLVM-MinGW.UCRT","mstorsjo/llvm-mingw","21.1.8-20251216","20251216"
"masaodev.quick-dash-launcher","masaodev/quick-dash-launcher","0.7.1","0.7.7"
"Mattermost.Focalboard","mattermost/focalboard","7.11.3","8.0.0"
"max-sixty.worktrunk","max-sixty/worktrunk","0.5.0","0.23.1"
"MaximumADHD.RobloxStudioModManager","MaximumADHD/Roblox-Studio-Mod-Manager","2025.12.10","2026.02.07"
"Maximus5.ConEmu","ConEmu/ConEmu","11.230.7240","23.07.24"
"maxrave-dev.SimpMusic","maxrave-dev/SimpMusic","1.0.2","1.0.3"
"mb21.panwriter","mb21/panwriter","0.8.9","0.8.10"
"mbuilov.sed","mbuilov/sed-windows","4.9","sed-4.9-x64-fixed"
