"PackageId","GitHubRepo","CurrentVersion","LatestVersion"
"Avidemux.Avidemux","mean00/avidemux2","2.8.0.220109","2.8.1"
"awakecoding.mcp-proxy-tool","awakecoding/mcp-proxy-tool","0.1.0","0.2.0"
"axcore.tartube","axcore/tartube","2.5.100","2.5.197"
"AzaharEmulator.Azahar.MSVC","azahar-emu/azahar","2123.3","2124.3"
"AzaharEmulator.Azahar.MSYS2","azahar-emu/azahar","2123.3","2124.3"
"AzaharPlus.AzaharPlus","AzaharPlus/AzaharPlus","2122-A","AZAHAR_PLUS_2124_3_A"
"babalae.BetterGI","babalae/better-genshin-impact","0.20.0","0.56.2"
"Babashka.Babashka","babashka/babashka","1.12.207","1.12.214"
"badboy.mdbook-toc","badboy/mdbook-toc","0.14.2","0.15.3"
"BaileyBrown.cppcryptfs","bailey27/cppcryptfs","1.4.4.6","1.4.4.7"
"Balena.BalenaCLI","balena-io/balena-cli","23.2.22","23.2.30"
"Bambulab.Bambustudio","bambulab/BambuStudio","02.05.00.66","02.05.00.67"
"Basti-def.helloworld.package","Basti-def/helloworld-test","1.0","helloworld"
"bbatistadaniel.autoclicker","bbatistadaniel/Auto-Clicker","1.0","AutoClicker"
"BBC.audiowaveform","bbc/audiowaveform","1.10.1","1.10.3"
"bcssov.IronyModManager","bcssov/IronyModManager","1.26.271","1.27.149"
"bdash-app.bdash","bdash-app/bdash","1.17.1","1.31.0"
"bee-san.Ares","bee-san/Ares","0.10.0","0.11.0"
"BellSoft.LibericaNIK.22.JDK11","bell-sw/LibericaNIK","22.3.5","25.0.2+1-25.0.2+13"
"BellSoft.LibericaNIK.22.JDK11.Core","bell-sw/LibericaNIK","22.3.5","25.0.2+1-25.0.2+13"
"BellSoft.LibericaNIK.22.JDK11.Full","bell-sw/LibericaNIK","22.3.5","25.0.2+1-25.0.2+13"
"BellSoft.LibericaNIK.23.JDK17","bell-sw/LibericaNIK","23.0.5","25.0.2+1-25.0.2+13"
"BellSoft.LibericaNIK.23.JDK17.Core","bell-sw/LibericaNIK","23.0.5","25.0.2+1-25.0.2+13"
"BellSoft.LibericaNIK.23.JDK17.Full","bell-sw/LibericaNIK","23.0.5","25.0.2+1-25.0.2+13"
"BellSoft.LibericaNIK.23.JDK21","bell-sw/LibericaNIK","23.1.4","25.0.2+1-25.0.2+13"
"BellSoft.LibericaNIK.23.JDK21.Core","bell-sw/LibericaNIK","23.1.4","25.0.2+1-25.0.2+13"
"BellSoft.LibericaNIK.23.JDK21.Full","bell-sw/LibericaNIK","23.1.4","25.0.2+1-25.0.2+13"
"BellSoft.LibericaNIK.24.JDK22","bell-sw/LibericaNIK","24.0.2","25.0.2+1-25.0.2+13"
"BellSoft.LibericaNIK.24.JDK22.Full","bell-sw/LibericaNIK","24.0.2","25.0.2+1-25.0.2+13"
"benaclejames.VRCFaceTracking","benaclejames/VRCFaceTracking","5.1.1.0","5.2.3.0"
"BenjaminLSR.HandheldCompanion","Valkirie/HandheldCompanion","0.28.3.1","0.28.3.3"
"BepassOrg.OblivionDesktop","bepass-org/oblivion-desktop","0.23.15-beta","3.11.0"
"Betaflight.Betaflight-Configurator","betaflight/betaflight-configurator","10.10.0","2025.12.1"
"Bforartists.Bforartists","Bforartists/Bforartists","4.3.3","5.0.1"
"bggRGjQaUbCoE.PiliPlus","bggRGjQaUbCoE/PiliPlus","1.1.5.4","1.1.6"
"Bililive.BililiveRecorder","Bililive/BililiveRecorder","1.3.8","2.18.0"
"BillStewart.SyncthingWindowsSetup","Bill-Stewart/SyncthingWindowsSetup","2.0.0","2.0.1"
"Bin-Huang.Chatbox.CommunityEdition","chatboxai/chatbox","0.10.4","1.18.1"
"BinanceTech.Binance","binance/desktop","2.0.1","2.1.0"
"binaricat.Netcatty","binaricat/Netcatty","1.0.24","1.0.33"
"binbat.live777","binbat/live777","0.7.3","0.8.1"
"binbat.liveman","binbat/live777","0.7.3","0.8.1"
